L,a,b,firmness,ar,sugar
41.96,-5,40,5.76,0.84,14.3
34.90,-7,33,6.4,0.81,14.3
43.92,-3,42,5.86,0.85,13.3
45.49,-7,43,5.61,0.85,12.7
53.33,3,50,5.8,0.86,17.9
45.88,-5,42,5.7,0.86,16.9
43.92,0,44,4.85,0.88,13.7
49.80,7,50,4.78,0.88,13.3
40.78,-3,40,4.77,0.89,16.9
49.02,16,49,4.97,0.88,16.4
51.76,24,54,4.23,0.85,16.6
57.65,20,56,3.89,0.85,17.5
52.16,12,52,4.86,0.86,19.7
51.76,29,52,4.35,0.87,19.1
51.76,36,54,3.98,0.83,17.6
50.59,32,53,4.12,0.83,17.9
46.27,40,49,3.43,0.84,16.9
53.33,29,56,2.99,0.86,16.9
52.94,28,56,3.01,0.85,16.6
52.94,30,56,3.37,0.86,16.6
49.80,11,48,4.90,0.84,18.75
37.65,-5,34,5.56,0.84,18.15
45.88,3,44,4.72,0.84,15.15
41.18,2,39,4.36,0.85,16.00
49.41,2,46,4.49,0.77,17.75
54.12,0,49,4.64,0.77,17.70
46.67,8,43,4.59,0.82,16.70
50.98,11,49,5.28,0.82,17.75
43.92,17,43,4.23,0.85,16.80
45.88,2,42,4.75,0.83,15.75
50.98,5,50,5.36,0.86,18.15
41.57,-3,38,5.58,0.85,18.35
51.76,32,52,3.43,0.88,17.45
51.37,14,51,4.39,0.87,17.75
54.90,15,53,5.39,0.88,17.45
54.12,23,51,3.33,0.89,17.60
49.41,13,50,4.25,0.84,16.25
46.67,26,49,3.70,0.84,16.30
54.51,16,53,4.64,0.89,16.95
45.88,19,47,3.58,0.88,17.80
55.29,22,57,4.43,0.85,17.50
51.37,15,52,4.63,0.84,15.20
50.59,31,53,3.90,0.84,16.90
50.98,30,51,4.02,0.84,17.25
54.12,26,55,4.23,0.86,18.85
54.51,28,55,4.40,0.85,19.30
56.86,23,58,3.40,0.87,17.40
51.37,22,54,3.45,0.88,17.90
58.82,16,59,4.74,0.85,19.05
49.80,32,51,3.86,0.83,19.35
60.78,-10,46,6.09,0.85,17.10
53.73,-12,43,6.21,0.84,17.10
54.12,-12,40,6.48,0.88,13.95
56.08,-8,44,6.56,0.88,14.25
52.94,-9,41,6.30,0.87,13.10
47.45,-13,36,8.32,0.89,13.05
53.73,-10,42,6.51,0.91,17.80
52.55,-10,41,7.62,0.91,18.85
50.98,-10,36,6.13,0.82,16.80
54.12,-7,38,7.78,0.85,17.45
54.90,-10,44,6.80,0.79,14.85
46.27,-13,35,6.59,0.80,15.50
53.33,-7,38,6.33,0.89,13.75
53.73,-5,40,5.99,0.88,14.55
52.55,-8,43,5.75,0.85,13.25
54.90,-2,45,6.05,0.83,14.05
52.94,-8,37,6.77,0.87,14.70
47.84,-3,41,4.85,0.87,15.95
53.73,-1,43,4.47,0.83,15.90
49.41,1,41,4.55,0.81,16.55
49.41,-5,41,5.92,0.87,17.60
58.43,1,48,6.60,0.86,17.80
54.90,-4,46,6.89,0.89,13.75
54.51,-3,46,6.64,0.91,14.75
54.51,-2,48,6.20,0.84,14.50
56.86,-4,48,6.68,0.84,14.55
59.61,-2,50,7.75,0.87,14.95
58.43,-3,50,9.18,0.86,15.65
61.57,-4,53,5.85,0.88,16.30
65.88,2,53,4.82,0.87,15.00
56.08,-2,48,6.48,0.87,15.00
62.35,5,54,6.89,0.85,15.65
50.98,-8,39,4.56,0.80,16.10
47.06,-11,36,4.68,0.85,16.85
49.80,-4,43,4.56,0.76,15.50
49.41,-2,40,4.43,0.75,15.55
59.61,-1,50,5.45,0.83,11.85
50.20,-8,36,5.71,0.82,14.00
47.45,13,41,6.07,0.82,17.35
50.59,-4,41,5.34,0.81,18.15
64.71,-1,53,7.49,0.92,15.30
59.61,1,51,5.29,0.91,15.70
56.86,8,49,4.63,0.85,14.80
55.29,1,49,5.88,0.80,16.05
61.96,23,57,4.14,0.88,17.75
62.35,16,57,4.81,0.90,17.55
64.71,19,60,4.74,0.91,16.90
51.37,22,50,5.93,0.91,16.85
55.29,25,56,3.26,0.86,15.25
55.69,24,55,4.26,0.86,16.00
